№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
6550,Автобус,Остановка,"УЛ. ХАЗОВА, УГ. ЖЕЛЕЗНОДОРОЖНОЙ УЛ.","УЛ. ХАЗОВА, УГ. ЖЕЛЕЗНОДОРОЖНОЙ УЛ.","Генерала Хазова ул., Железнодорожная ул.","375, 376, 381","59.739093375604362,30.4185448"
6551,Автобус,Остановка,"УЛ. ШИШКОВА, УГ. УЛ. ХАЗОВА","УЛ. ШИШКОВА, УГ. УЛ. ХАЗОВА","Вячеслава Шишкова ул., Генерала Хазова ул.","299, 376, 381","59.737331027709104,30.4058857"
6552,Автобус,Остановка,КАДЕТСКИЙ БУЛЬВАР,КАДЕТСКИЙ БУЛЬВАР [],"Парковая ул., Кадетский бул.","188, 378, 380, 381","59.710650404421898,30.4013596"
6553,Автобус,Остановка,КАДЕТСКИЙ БУЛЬВАР,КАДЕТСКИЙ БУЛЬВАР [],"Парковая ул., Кадетский бул.","188, 299, 342, 378, 380","59.710467822992555,30.4024525"
6554,Автобус,Остановка,ОРЛОВСКИЕ ВОРОТА,ОРЛОВСКИЕ ВОРОТА [378],"Дорога на Александровку, Парковая ул.",378,"59.709730597279119,30.3825607"
6555,Автобус,Остановка,"ПУШКИН, ИНСТИТУТ ИМ. ТУРНЕРА","ПУШКИН, ИНСТИТУТ ИМ. ТУРНЕРА (ПО ТРЕБОВАНИЮ) []","Дорога на Александровку, Подкапризовая дорога",378,"59.711408278951495,30.3788719"
6556,Автобус,Остановка,"ПУШКИН, ИНСТИТУТ ИМ. ТУРНЕРА","ПУШКИН, ИНСТИТУТ ИМ. ТУРНЕРА (ПО ТРЕБОВАНИЮ) []","Дорога на Александровку, Подкапризовая дорога",378,"59.711277374577136,30.3785915"
6557,Автобус,Остановка,"АЛЕКСАНДРОВСКАЯ, СОБОЛЕВСКАЯ ДОРОГА","АЛЕКСАНДРОВСКАЯ, СОБОЛЕВСКАЯ ДОРОГА []","Волхонское шоссе, Соболевская улица","377, 378","59.728827770643562,30.3542595"
6561,Автобус,Остановка,"ЖЕЛЕЗНОДОРОЖНАЯ УЛ., 56","ЖЕЛЕЗНОДОРОЖНАЯ УЛ., 56",Железнодорожная ул.,"375, 376, 381","59.733988507278632,30.4213352"
6562,Автобус,Остановка,"АЛЕКСАНДРОВСКАЯ, СОБОЛЕВСКАЯ ДОРОГА","АЛЕКСАНДРОВСКАЯ, СОБОЛЕВСКАЯ ДОРОГА []","Волхонское шоссе, Соболевская улица","377, 378","59.72861774381483,30.354208"
6570,Автобус,Остановка,"АЛЕКСАНДРОВСКАЯ, СЕЛЬСКИЙ ПЕР.","АЛЕКСАНДРОВСКАЯ, СЕЛЬСКИЙ ПЕР.",Волхонское шоссе,"377, 378","59.731296347779228,30.3473053"
6581,Автобус,Остановка,ШКОЛЬНАЯ УЛ.,ШКОЛЬНАЯ УЛ.,"Генерала Хазова ул., Школьная ул.","375, 376, 381","59.73813304520457,30.413456"
6582,Автобус,Остановка,"АЛЕКСАНДРОВСКАЯ, СЕЛЬСКИЙ ПЕР.","АЛЕКСАНДРОВСКАЯ, СЕЛЬСКИЙ ПЕР.",Волхонское шоссе,"377, 378","59.731079450814484,30.3474255"
6583,Автобус,Остановка,"АЛЕКСАНДРОВСКАЯ, Ж.-Д. СТ.","АЛЕКСАНДРОВСКАЯ, Ж.-Д. СТ.",Волхонское шоссе,"377, 378","59.731358318082187,30.339756"
6586,Автобус,Остановка,АДМИРАЛТЕЙСКАЯ УЛ.,АДМИРАЛТЕЙСКАЯ УЛ.,"Пролетарская улица, улица Володарского","324, 540","59.740394424396285,30.593544"
6594,Автобус,Остановка,ГУММОЛОСАРОВСКАЯ УЛ.,ГУММОЛОСАРОВСКАЯ УЛ. (ТЕСТ),"Мичурина ул., Лебединая ул.","383, 493","59.684655258769268,30.4338131"
6595,Автобус,Остановка,"МАРИИНСКАЯ УЛ., УГ.ЕЛИЗАВЕТИНСКОЙ УЛ.","МАРИИНСКАЯ УЛ., УГ.ЕЛИЗАВЕТИНСКОЙ УЛ.",Правды ул.,379,"59.678576590847605,30.4401321"
6596,Автобус,Остановка,УЛ. КРАСНОГО КУРСАНТА,УЛ. КРАСНОГО КУРСАНТА,,"299, 379","59.678111077341754,30.4509068"
6597,Автобус,Остановка,"УЛ. ОБОРОНЫ, 8","УЛ. ОБОРОНЫ, 8",,"299, 379","59.676086880460964,30.4561825"
6598,Автобус,Остановка,"УЛ. ОБОРОНЫ, 1-А","УЛ. ОБОРОНЫ, 1-А",,"299, 379","59.674535028337019,30.4600239"
6599,Автобус,Остановка,"УЛ. ОБОРОНЫ, 49","УЛ. ОБОРОНЫ, 49",,"299, 379","59.671351782348204,30.4681568"
6600,Автобус,Остановка,"УЛ. ОБОРОНЫ, 1-А","УЛ. ОБОРОНЫ, 1-А",,"299, 379","59.67473160024727,30.4602051"
6601,Автобус,Остановка,"УЛ. ОБОРОНЫ, 8","УЛ. ОБОРОНЫ, 8",,"299, 379","59.676255855576223,30.456356"
6602,Автобус,Остановка,УЛ. КРАСНОГО КУРСАНТА,УЛ. КРАСНОГО КУРСАНТА,,379,"59.678466247490235,30.4504662"
6603,Автобус,Остановка,"МАРИИНСКАЯ УЛ., УГ.ЕЛИЗАВЕТИНСКОЙ УЛ.","МАРИИНСКАЯ УЛ., УГ.ЕЛИЗАВЕТИНСКОЙ УЛ.",Правды ул.,379,"59.678780035460207,30.440218"
6604,Автобус,Остановка,ОРАНЖЕРЕЙНАЯ УЛ.,ОРАНЖЕРЕЙНАЯ УЛ.,"Пушкинская ул., Оранжерейная ул.","236, 382, 385","59.720780390168251,30.409481"
6605,Автобус,Остановка,ШКОЛА №409,ШКОЛА №409 [],"Госпитальный пер., Фуражный пер.","188, 252, 380, 381","59.706485233066637,30.3767471"
6606,Автобус,Остановка,ШКОЛА №409,ШКОЛА №409 [],"Госпитальный пер., Фуражный пер.","188, 252, 380, 381","59.706374981622069,30.3771954"
6607,Автобус,Остановка,"КАДЕТСКИЙ БУЛЬВАР, УГ. ПАРКОВОЙ УЛ.","КАДЕТСКИЙ БУЛЬВАР, УГ. ПАРКОВОЙ УЛ.","Кадетский бул., Парковая ул.","299, 342, 381","59.710085432243083,30.4019375"
6608,Автобус,Остановка,МОСКОВСКИЕ ВОРОТА,МОСКОВСКИЕ ВОРОТА,"Московское ш., Софийский бульвар","375, 383, 384","59.71569339203279,30.4212742"
6609,Автобус,Остановка,ДОМ-МУЗЕЙ П.П. ЧИСТЯКОВА,ДОМ-МУЗЕЙ П.П. ЧИСТЯКОВА,"Московское ш., Чистякова ул.","375, 383, 384","59.713833362114151,30.4268951"
6610,Автобус,Остановка,"Г. ПУШКИН, ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД","Г. ПУШКИН, ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД","Московское ш., Удаловская улица",384,"59.712465829723477,30.4377308"
6611,Автобус,Остановка,"МОСКОВСКОЕ ШОССЕ, 13","МОСКОВСКОЕ ШОССЕ, 13",Московское ш.,384,"59.712186804915255,30.4433937"
6612,Автобус,Остановка,ИНСТИТУТ ГЕНЕТИКИ,ИНСТИТУТ ГЕНЕТИКИ,Московское ш.,384,"59.711783764973859,30.4520206"
6613,Автобус,Остановка,"МОСКОВСКОЕ ШОССЕ, 81","МОСКОВСКОЕ ШОССЕ, 81",Московское ш.,384,"59.712975646820915,30.4604969"
6614,Автобус,Остановка,ПОС. НОВОВЕСь,ПОС. НОВОВЕСЬ,"Ям-Ижорское ш., Комсомольская",384,"59.710801980700836,30.4718475"
6615,Автобус,Остановка,"МОСКОВСКОЕ ШОССЕ, 81","МОСКОВСКОЕ ШОССЕ, 81",Московское ш.,384,"59.713213329164411,30.4600887"
6616,Автобус,Остановка,ИНСТИТУТ ГЕНЕТИКИ,ИНСТИТУТ ГЕНЕТИКИ,Московское ш.,384,"59.712045569248936,30.4520206"
6617,Автобус,Остановка,"МОСКОВСКОЕ ШОССЕ, 13","МОСКОВСКОЕ ШОССЕ, 13",Московское ш.,384,"59.712479608666072,30.4431133"
6618,Автобус,Остановка,"СТАРОГАТЧИНСКОЕ ШОССЕ, УГ. КРАСНОСЕЛЬСКОГО ШОССЕ","СТАРОГАТЧИНСКОЕ ШОССЕ, УГ. КРАСНОСЕЛЬСКОГО ШОССЕ (ПО ТРЕБОВАНИЮ) []",Красносельское шоссе,380,"59.704776294866669,30.3419952"
6619,Автобус,Остановка,"СТАРОГАТЧИНСКОЕ ШОССЕ, 2","СТАРОГАТЧИНСКОЕ ШОССЕ, 2",,380,"59.701578692290951,30.3302479"
6620,Автобус,Остановка,ДОМ-МУЗЕЙ П.П. ЧИСТЯКОВА,ДОМ-МУЗЕЙ П.П. ЧИСТЯКОВА,"Московское ш., Чистякова ул.","375, 383, 384","59.713292556237079,30.4294052"
6621,Автобус,Остановка,МОСКОВСКИЕ ВОРОТА,МОСКОВСКИЕ ВОРОТА,"Московское ш., Софийский бульвар","375, 383, 384","59.716168716424285,30.4206696"
6622,Автобус,Остановка,"НАБЕРЕЖНАЯ УЛ., УГ. МОСКОВСКОЙ УЛ.","НАБЕРЕЖНАЯ УЛ., УГ. МОСКОВСКОЙ УЛ.","Госпитальная ул., Московский пер.","375, 383, 384","59.71723989373934,30.4157581"
6623,Автобус,Остановка,МАГАЗЕЙНАЯ УЛ.,МАГАЗЕЙНАЯ УЛ.,"Конюшенная улица, Магазейная улица","236, 273, 342, 373, 380, 381, 382, 384, 385","59.720969803056136,30.4151096"
6624,Автобус,Остановка,"ПЕТРО-СЛАВЯНКА, УЛ. 3 ПЯТИЛЕТКИ","ПЕТРО-СЛАВЯНКА, УЛ. 3 ПЯТИЛЕТКИ","Вокзальная улица, улица 3-й Пятилетки","396, 396А","59.800995330646636,30.5228043"
6625,Автобус,Остановка,КРАСНОАРМЕЙСКАЯ УЛ.,КРАСНОАРМЕЙСКАЯ УЛ.,"Дорога на Металлострой, улица 3-й Пятилетки","396, 396А","59.804372373316063,30.5269394"
6626,Автобус,Остановка,"ДОРОГА НА МЕТАЛЛОСТРОЙ, 9","ДОРОГА НА МЕТАЛЛОСТРОЙ, 9","На Металлострой дор., 14-я линия","396, 396А","59.801850788857308,30.5447216"
6627,Автобус,Остановка,КАЗАНСКОЕ КЛАДБИЩЕ,КАЗАНСКОЕ КЛАДБИЩЕ,,382,"59.694682822364804,30.388546"
6628,Автобус,Остановка,МОСКОВСКАЯ УЛ.,МОСКОВСКАЯ УЛ.,"Леонтьевская ул., Московская ул.","236, 382, 385","59.720849267706114,30.4055843"
6629,Автобус,Остановка,"ЛЕОНТЬЕВСКАЯ УЛ., УГ. СРЕДНЕЙ УЛ.","ЛЕОНТЬЕВСКАЯ УЛ., УГ. СРЕДНЕЙ УЛ.","Леонтьевская ул., Средняя ул.","236, 371, 382, 385","59.717925291456758,30.4018726"
6630,Автобус,Остановка,ОРАНЖЕРЕЙНАЯ УЛ.,ОРАНЖЕРЕЙНАЯ УЛ.,"Пушкинская улица, Оранжерейная улица","236, 382","59.72072184414958,30.4092999"
6631,Автобус,Остановка,"ДОРОГА НА МЕТАЛЛОСТРОЙ, 9","ДОРОГА НА МЕТАЛЛОСТРОЙ, 9","На Металлострой дор., 14-я линия","396, 396А","59.801867966508262,30.5449963"
6632,Автобус,Остановка,КРАСНОАРМЕЙСКАЯ УЛ.,КРАСНОАРМЕЙСКАЯ УЛ.,"Красноармейская улица, На Металлострой дор.","396, 396А","59.804475431294826,30.5265789"
6633,Автобус,Остановка,МЕДВЕЖИЙ ПЕР.,МЕДВЕЖИЙ ПЕР.,"Медвежий пер., Конюшенная ул.","252, 299, 339, 370, 375А, 379, 383, 493","59.684017446936188,30.4390354"
6634,Автобус,Остановка,"ПОСЁЛОК ТЕЛЬМАНА, АДМИНИСТРАЦИЯ","ПОСЁЛОК ТЕЛЬМАНА, АДМИНИСТРАЦИЯ",,"324, 367, 392, 544","59.721693006035878,30.6068363"
6635,Автобус,Остановка,"ПОС.ЯМ-ИЖОРА, 2","ПОС.ЯМ-ИЖОРА, 2",,544,"59.699097583323358,30.5872231"
6636,Автобус,Остановка,"ОБЪЕДИНЕНИЕ ""СЕЛЬХОЗТЕХНИКА""","ОБЪЕДИНЕНИЕ ""СЕЛЬХОЗТЕХНИКА""",,544,"59.689302299499985,30.5751686"
6637,Автобус,Остановка,"ПОС. МЕТАЛЛОСТРОЙ, Д.3","ПОС. МЕТАЛЛОСТРОЙ, Д.3",,396А,"59.792721333273334,30.5645237"
6638,Автобус,Остановка,ПОС. ВОЙСКОРОВО,ПОС. ВОЙСКОРОВО,,544,"59.689388477401131,30.5629997"
6639,Автобус,Остановка,"ОБЪЕДИНЕНИЕ ""СЕЛЬХОЗТЕХНИКА""","ОБЪЕДИНЕНИЕ ""СЕЛЬХОЗТЕХНИКА""",,544,"59.689202332856901,30.5761509"
6640,Автобус,Остановка,ДОРОГА НА МЕТАЛЛОСТРОЙ,ДОРОГА НА МЕТАЛЛОСТРОЙ,"На Металлострой дор., Центральный проезд","396, 396А","59.796813919923913,30.5574913"
6641,Автобус,Остановка,ПОС. ЯМ-ИЖОРА-2,ПОС. ЯМ-ИЖОРА-2,,"540, 544","59.699393947674913,30.5884056"
6642,Автобус,Остановка,ПОС.ДИНАМО,ПОС.ДИНАМО [545],,545,"59.653453761693882,30.4049606"
6643,Автобус,Остановка,"ПОКРОВСКАЯ,47","ПОКРОВСКАЯ,47[545]",,545,"59.647714575238552,30.3999596"
6644,Автобус,Остановка,"ПОКРОВСКАЯ,47","ПОКРОВСКАЯ,47[545]",,545,"59.647617935913061,30.4006252"
6658,Автобус,Остановка,ДОРОГА В ГАМБОЛОВО,ДОРОГА В ГАМБОЛОВО[545],,545,"59.645512510089766,30.396698"
6659,Автобус,Остановка,ДОРОГА В ГАМБОЛОВО,ДОРОГА В ГАМБОЛОВО[545],,545,"59.64496024537938,30.3964844"
6660,Автобус,Остановка,"ПОКРОВСКАЯ,121","ПОКРОВСКАЯ,121[545]",,545,"59.642827037576531,30.392065"
6661,Автобус,Остановка,"ПОКРОВСКАЯ,121","ПОКРОВСКАЯ,121[545]",,545,"59.64277871090983,30.3927269"
6662,Автобус,Остановка,"ПОКРОВСКАЯ,187","ПОКРОВСКАЯ,187[545]",,545,"59.637866287376156,30.3878365"
6663,Автобус,Остановка,"ПОКРОВСКАЯ,187","ПОКРОВСКАЯ,187[545]",,545,"59.638270217214192,30.3887825"
6664,Автобус,Остановка,ДОРОГА В КОММУНАР,ДОРОГА В КОММУНАР[545],,545,"59.63273906317054,30.3852177"
6665,Автобус,Остановка,ДОРОГА В КОММУНАР,ДОРОГА В КОММУНАР[545],,545,"59.63187236406268,30.3859711"
6666,Автобус,Остановка,"Г.КОММУНАР, ПАВЛОВСКАЯ УЛ.","Г.КОММУНАР, ПАВЛОВСКАЯ УЛ.[545]",,545,"59.627407300589951,30.3922043"
6667,Автобус,Остановка,"Г.КОММУНАР, ПАВЛОВСКАЯ УЛ.","Г.КОММУНАР, ПАВЛОВСКАЯ УЛ.[545]",,545,"59.627814809736634,30.3925705"
6668,Автобус,Остановка,УЛ. АННЫ ЗЕЛЕНОВОЙ,УЛ. АННЫ ЗЕЛЕНОВОЙ,Революции ул.,493,"59.684968988783083,30.468071"
6669,Автобус,Остановка,ЦЕНТР,ЦЕНТР [545],,545,"59.622257754716706,30.3930855"
6670,Автобус,Остановка,"ПОС. МЕТАЛЛОСТРОЙ, Д.3","ПОС. МЕТАЛЛОСТРОЙ, Д.3",,396А,"59.792879410594772,30.5646591"
6671,Автобус,Остановка,ЦЕНТР,ЦЕНТР [545],,545,"59.621898534933059,30.3935814"
6672,Автобус,Остановка,"ПАВЛОВСК, ШКОЛА-ИНТЕРНАТ №68","ПАВЛОВСК, ШКОЛА-ИНТЕРНАТ №68",Революции ул.,493,"59.685244792961903,30.4775581"
6673,Автобус,Остановка,М. ГЛИНКИ,М. ГЛИНКИ,"Революции ул., ул. Фридриха Энгельса",493,"59.68413121966649,30.4895344"
6674,Автобус,Остановка,Б. ГЛИНКИ,Б. ГЛИНКИ,,493,"59.679745518476516,30.4969864"
6675,Автобус,Остановка,АДМИНИСТРАЦИЯ,АДМИНИСТРАЦИЯ,,545,"59.619515152522091,30.3932056"
